Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,avg_wage
80033,STANDARD,WHEAT RIDGE,CO,PRIMARY,39.77,-105.09,NA-US-CO-WHEAT RIDGE,FALSE,12044,19035,398889985,33119.3943
80034,PO BOX,WHEAT RIDGE,CO,PRIMARY,39.77,-105.09,NA-US-CO-WHEAT RIDGE,FALSE,394,563,12306974,31235.97462
80035,PO BOX,WESTMINSTER,CO,PRIMARY,39.88,-105.05,NA-US-CO-WESTMINSTER,FALSE,438,692,17604450,40192.80822
80036,PO BOX,WESTMINSTER,CO,PRIMARY,39.88,-105.05,NA-US-CO-WESTMINSTER,FALSE,253,389,7151208,28265.64427
80037,PO BOX,COMMERCE CITY,CO,PRIMARY,39.86,-104.86,NA-US-CO-COMMERCE CITY,FALSE,281,488,8442387,30044.08185
80038,PO BOX,BROOMFIELD,CO,PRIMARY,39.94,-105.06,NA-US-CO-BROOMFIELD,FALSE,393,624,16853328,42883.78626
8004,STANDARD,ATCO,NJ,PRIMARY,39.76,-74.85,NA-US-NJ-ATCO,FALSE,6067,10625,265253909,43720.76957
80040,PO BOX,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,263,440,5884610,22374.94297
80041,PO BOX,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,317,500,6518480,20563.02839
80042,PO BOX,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,340,563,9414637,27690.10882
80044,PO BOX,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,412,626,13633812,33091.7767
80045,STANDARD,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,,,,#DIV/0!
80046,PO BOX,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,427,740,20262626,47453.45667
80047,STANDARD,AURORA,CO,PRIMARY,39.69,-104.81,NA-US-CO-AURORA,FALSE,876,1362,29554617,33738.14726
8005,STANDARD,BARNEGAT,NJ,PRIMARY,39.75,-74.22,NA-US-NJ-BARNEGAT,FALSE,11092,19593,392526303,35388.23503
8006,PO BOX,BARNEGAT LIGHT,NJ,PRIMARY,39.75,-74.11,NA-US-NJ-BARNEGAT LIGHT,FALSE,424,687,14347323,33838.02594
8007,STANDARD,BARRINGTON,NJ,PRIMARY,39.87,-75.05,NA-US-NJ-BARRINGTON,FALSE,2592,4458,109874392,42389.81173
8008,STANDARD,BEACH HAVEN,NJ,PRIMARY,39.55,-74.24,NA-US-NJ-BEACH HAVEN,FALSE,4226,6743,144788924,34261.45859
8009,STANDARD,BERLIN,NJ,PRIMARY,39.79,-74.93,NA-US-NJ-BERLIN,FALSE,6593,11467,308358424,46770.57849
801,PO BOX,ST THOMAS,VI,PRIMARY,18.35,-64.93,NA-US-VI-ST THOMAS,FALSE,,,,#DIV/0!
8010,STANDARD,BEVERLY,NJ,PRIMARY,40.06,-74.92,NA-US-NJ-BEVERLY,FALSE,5572,9089,196106076,35194.91673
80101,STANDARD,AGATE,CO,PRIMARY,39.47,-103.95,NA-US-CO-AGATE,FALSE,,,,#DIV/0!
80102,STANDARD,BENNETT,CO,PRIMARY,39.75,-104.42,NA-US-CO-BENNETT,FALSE,2353,4414,116394054,49466.23629
80103,STANDARD,BYERS,CO,PRIMARY,39.71,-104.22,NA-US-CO-BYERS,FALSE,1063,1980,43422250,40848.77705
80104,STANDARD,CASTLE ROCK,CO,PRIMARY,39.37,-104.85,NA-US-CO-CASTLE ROCK,FALSE,12163,23257,721076485,59284.42695
80105,STANDARD,DEER TRAIL,CO,PRIMARY,39.61,-104.04,NA-US-CO-DEER TRAIL,FALSE,487,908,16499887,33880.67146
80106,STANDARD,ELBERT,CO,PRIMARY,39.22,-104.53,NA-US-CO-ELBERT,FALSE,1827,3550,96877222,53025.2994
80107,STANDARD,ELIZABETH,CO,PRIMARY,39.36,-104.6,NA-US-CO-ELIZABETH,FALSE,5366,10224,306771538,57169.50019
80108,STANDARD,CASTLE ROCK,CO,PRIMARY,39.37,-104.85,NA-US-CO-CASTLE ROCK,FALSE,9381,18741,995935050,106165.1263
80109,STANDARD,CASTLE ROCK,CO,PRIMARY,39.36,-104.9,NA-US-CO-CASTLE ROCK,FALSE,6594,13706,474395361,71943.48817
8011,PO BOX,BIRMINGHAM,NJ,PRIMARY,39.92,-74.53,NA-US-NJ-BIRMINGHAM,FALSE,,,,#DIV/0!
80110,STANDARD,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,10055,16323,317249784,31551.44545
80111,STANDARD,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,14746,26274,1140994610,77376.55025
80112,STANDARD,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,14316,24434,853496907,59618.3925
80113,STANDARD,ENGLEWOOD,CO,PRIMARY,39.64,-104.96,NA-US-CO-ENGLEWOOD,FALSE,10069,15932,729824923,72482.36399
80116,STANDARD,FRANKTOWN,CO,PRIMARY,39.38,-104.75,NA-US-CO-FRANKTOWN,FALSE,2079,3865,139472763,67086.46609
80117,STANDARD,KIOWA,CO,PRIMARY,39.34,-104.46,NA-US-CO-KIOWA,FALSE,1136,2139,54976626,48394.91725
80118,STANDARD,LARKSPUR,CO,PRIMARY,39.18,-104.89,NA-US-CO-LARKSPUR,FALSE,2522,4843,188494078,74739.9199
8012,STANDARD,BLACKWOOD,NJ,PRIMARY,39.79,-75.06,NA-US-NJ-BLACKWOOD,FALSE,19133,33128,856896221,44786.29703
80120,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,13636,22949,588226100,43137.73101
80121,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,9056,16032,669506894,73929.64819
80122,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,15652,27470,852250410,54449.93675
80123,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,22415,38330,1163404851,51902.96012
80124,STANDARD,LONE TREE,CO,PRIMARY,39.59,-105.01,NA-US-CO-LONE TREE,FALSE,8215,15055,645634083,78592.09775
80125,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,4405,8737,326362107,74089.01407
80126,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,17385,34260,1363191615,78411.94219
80127,STANDARD,LITTLETON,CO,PRIMARY,39.57,-105.14,NA-US-CO-LITTLETON,FALSE,21152,39353,1416685836,66976.44837
80128,STANDARD,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,17736,31088,908751036,51237.65426
80129,STANDARD,LITTLETON,CO,PRIMARY,39.54,-105,NA-US-CO-LITTLETON,FALSE,11740,22983,858865674,73157.21244
80130,STANDARD,LITTLETON,CO,PRIMARY,39.54,-104.93,NA-US-CO-LITTLETON,FALSE,11630,22771,844915420,72649.64918
80131,PO BOX,LOUVIERS,CO,PRIMARY,39.47,-105,NA-US-CO-LOUVIERS,FALSE,,,,#DIV/0!
80132,STANDARD,MONUMENT,CO,PRIMARY,39.07,-104.85,NA-US-CO-MONUMENT,FALSE,9470,18806,585834178,61862.10961
80133,STANDARD,PALMER LAKE,CO,PRIMARY,39.11,-104.9,NA-US-CO-PALMER LAKE,FALSE,1165,2112,50321833,43194.70644
80134,STANDARD,PARKER,CO,PRIMARY,39.5,-104.76,NA-US-CO-PARKER,FALSE,24453,47361,1779414950,72768.77888
80135,STANDARD,SEDALIA,CO,PRIMARY,39.43,-104.97,NA-US-CO-SEDALIA,FALSE,1877,3406,117396707,62544.86255
80136,STANDARD,STRASBURG,CO,PRIMARY,39.73,-104.3,NA-US-CO-STRASBURG,FALSE,2022,3882,98333942,48632.01879
80137,STANDARD,WATKINS,CO,PRIMARY,39.75,-104.6,NA-US-CO-WATKINS,FALSE,527,938,25945964,49233.32827
80138,STANDARD,PARKER,CO,PRIMARY,39.5,-104.76,NA-US-CO-PARKER,FALSE,12407,24253,843549079,67989.77021
8014,STANDARD,BRIDGEPORT,NJ,PRIMARY,39.8,-75.34,NA-US-NJ-BRIDGEPORT,FALSE,279,467,11656919,41781.07168
8015,STANDARD,BROWNS MILLS,NJ,PRIMARY,39.95,-74.55,NA-US-NJ-BROWNS MILLS,FALSE,10181,17598,367565906,36103.12405
80150,PO BOX,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,308,465,9928071,32233.99675
80151,PO BOX,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,260,372,5880424,22617.01538
80155,PO BOX,ENGLEWOOD,CO,PRIMARY,39.64,-104.99,NA-US-CO-ENGLEWOOD,FALSE,414,636,23921330,57780.99034
